n,doc_id,page,date,url
1,frjb19410521-01.1.1,"Page 1","21 May 1941",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19410521-01.1.1&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
2,frjb19740416-01.1.30,"Page 30","16 April 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740416-01.1.30&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
3,frjb19740507-01.1.37,"Page 37","7 May 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740507-01.1.37&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
4,frjb19740514-01.1.28,"Page 28","14 May 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740514-01.1.28&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
5,frjb19740521-01.1.32,"Page 32","21 May 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740521-01.1.32&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
6,frjb19740528-01.1.29,"Page 29","28 May 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740528-01.1.29&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
7,frjb19740604-01.1.29,"Page 29","4 June 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740604-01.1.29&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
8,frjb19740611-01.1.34,"Page 34","11 June 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740611-01.1.34&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
9,frjb19740709-01.1.30,"Page 30","9 July 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740709-01.1.30&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
10,frjb19740716-01.1.34,"Page 34","16 July 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740716-01.1.34&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
11,frjb19740730-01.1.14,"Page 14","30 July 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740730-01.1.14&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
12,frjb19740820-01.1.15,"Page 15","20 August 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740820-01.1.15&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
13,frjb19740903-01.1.16,"Page 16","3 September 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740903-01.1.16&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
14,frjb19740924-01.1.40,"Page 40","24 September 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19740924-01.1.40&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
15,frjb19741016-01.1.9,"Page 9","16 October 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19741016-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
16,frjb19741023-01.1.11,"Page 11","23 October 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19741023-01.1.11&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
17,frjb19741106-01.1.8,"Page 8","6 November 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19741106-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
18,frjb19741113-01.1.8,"Page 8","13 November 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19741113-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
19,frjb19741218-01.1.7,"Page 7","18 December 1974",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19741218-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
20,frjb19750101-01.1.10,"Page 10","1 January 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750101-01.1.10&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
21,frjb19750122-01.1.13,"Page 13","22 January 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750122-01.1.13&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
22,frjb19750205-01.1.2,"Page 2","5 February 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750205-01.1.2&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
23,frjb19750326-01.1.6,"Page 6","26 March 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750326-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
24,frjb19750514-01.1.8,"Page 8","14 May 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750514-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
25,frjb19750528-01.1.8,"Page 8","28 May 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750528-01.1.8&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
26,frjb19750611-01.1.9,"Page 9","11 June 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750611-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
27,frjb19750702-01.1.11,"Page 11","2 July 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750702-01.1.11&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
28,frjb19750716-01.1.6,"Page 6","16 July 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750716-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
29,frjb19750813-01.1.23,"Page 23","13 August 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750813-01.1.23&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
30,frjb19750917-01.1.6,"Page 6","17 September 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19750917-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
31,frjb19751001-01.1.12,"Page 12","1 October 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751001-01.1.12&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
32,frjb19751119-01.1.13,"Page 13","19 November 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751119-01.1.13&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
33,frjb19751210-01.1.9,"Page 9","10 December 1975",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19751210-01.1.9&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
34,frjb19760114-01.1.7,"Page 7","14 January 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760114-01.1.7&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
35,frjb19760204-01.1.11,"Page 11","4 February 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760204-01.1.11&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
36,frjb19760225-01.1.6,"Page 6","25 February 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760225-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
37,frjb19760310-01.1.6,"Page 6","10 March 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760310-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
38,frjb19760407-01.1.6,"Page 6","7 April 1976",https://www.nyshistoricnewspapers.org/?a=d&d=frjb19760407-01.1.6&e=-------en-99-frjb-1-byDA-txt-txIN-%22farm+out%22-PAGE--------
